root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940631528466,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940628874039,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940624051348,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940613413874,intrinsic,optic,optic_lobe_intrinsic,lobula_plate_intrinsic,,left,
720575940633195437,intrinsic,optic,optic_lobe_intrinsic,y_neuron,,right,
720575940614051326,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940617459156,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940616143922,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940630152492,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940613073901,intrinsic,optic,optic_lobe_intrinsic,y_neuron,,left,
720575940624965012,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940615573131,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,right,
720575940632978402,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940639509565,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940626969752,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940632138051,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940629956652,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,right,
720575940615458060,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940614747559,intrinsic,optic,optic_lobe_intrinsic,y_neuron,,left,
720575940624173459,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940612878193,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940635534328,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940626816912,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,right,
720575940630378583,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940631701608,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,right,
720575940630237239,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940626949894,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,right,
